team,pos,rank,name,source_url,fetched_at
ARIZ,QB,1,Noah Fifita,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ARIZ,QB,2,Sawyer Anderson,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ARIZ,QB,3,Luke Haugo,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ARIZ,RB,1,Ismail Mahdi,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ARIZ,RB,2,Kedrick Reescano,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ARIZ,RB,3,Quincy Craig,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ARIZ,TE,1,Cole Rusk,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ARIZ,TE,2,Tyler Powell,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ARIZ,TE,3,Arthur Ban,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ARIZ,WR,1,Chris Hunter III,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ARIZ,WR,1,Giovanni Richardson,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ARIZ,WR,1,Tré Spivey,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ARIZ,WR,2,Brandon Phelps,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ARIZ,WR,2,Isaiah Mizell,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ARIZ,WR,2,Rodney Gallagher III,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ARIZ,WR,3,Caleb Smith,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ARIZ,WR,3,DJ Jordan,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ARIZ,WR,3,R.J. Mosley,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ASU,QB,1,Cutter Boley,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ASU,QB,2,Mikey Keene,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ASU,QB,3,Jake Fette,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ASU,RB,1,Kyson Brown,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ASU,RB,2,Marquis Gillis,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ASU,RB,3,Grayson Rigdon,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ASU,TE,1,Khamari Anderson,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ASU,TE,2,AJ Ia,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ASU,TE,3,Anthony Miller,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ASU,WR,1,Jalen Moss,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ASU,WR,1,Omarion Miller,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ASU,WR,1,Reed Harris,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ASU,WR,2,Jaren Hamilton,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ASU,WR,2,Raiden Vines-Bright,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ASU,WR,2,Uriah Neloms,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ASU,WR,3,Cory Butler Jr.,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ASU,WR,3,Michael Tollefson,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
ASU,WR,3,Plas Johnson,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
BAMA,QB,1,Keelon Russell,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
BAMA,QB,2,Austin Mack,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
BAMA,QB,3,Jett Thomalla,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
BAMA,RB,1,Daniel Hill,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
BAMA,RB,2,Kevin Riley,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
BAMA,RB,3,EJ Crowell,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
BAMA,TE,1,Kaleb Edwards,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart.aspx,2026-09-13T13:37:43.198062+00:00
