Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
134251-129458,WR,Jaxon,Jaxon Smith-Njigba,Smith-Njigba,25.200000762939453,1,9000,SEA@ARI,SEA,ARI,,,,,,WR/FLEX
134251-55050,RB,Christian,Christian McCaffrey,McCaffrey,11.300000190734863,1,9000,MIA@SF,SF,MIA,,,,,,RB/FLEX
134251-136855,RB,Bijan,Bijan Robinson,Robinson,27.299999237060547,1,8900,CAR@ATL,ATL,CAR,,,,,,RB/FLEX
134251-63115,QB,Lamar,Lamar Jackson,Jackson,27.959999084472656,1,8800,NO@BAL,BAL,NO,,,,,,QB
134251-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,2.200000047683716,1,8800,CIN@HOU,CIN,HOU,,,,,,WR/FLEX
134251-39280,RB,Derrick,Derrick Henry,Henry,37.79999923706055,1,8700,NO@BAL,BAL,NO,,,,,,RB/FLEX
134251-85671,WR,Justin,Justin Jefferson,Jefferson,27.200000762939453,1,8600,MIN@CHI,MIN,CHI,,,,,,WR/FLEX
134251-69531,QB,Jalen,Jalen Hurts,Hurts,24.719999313354492,1,8600,PHI@TEN,PHI,TEN,,,,,,QB
134251-86631,WR,CeeDee,CeeDee Lamb,Lamb,12.899999618530273,1,8500,WAS@DAL,DAL,WAS,,,,,,WR/FLEX
134251-152113,QB,Caleb,Caleb Williams,Williams,37.2599983215332,1,8400,MIN@CHI,CHI,MIN,,,,,,QB
134251-64401,RB,Saquon,Saquon Barkley,Barkley,8.5,1,8300,PHI@TEN,PHI,TEN,,,,,,RB/FLEX
134251-138820,RB,De'Von,De'Von Achane,Achane,8.600000381469727,1,8200,MIA@SF,MIA,SF,,,,,,RB/FLEX
134251-32384,WR,Mike,Mike Evans,Evans,13.899999618530273,1,8200,MIA@SF,SF,MIA,,,,,,WR/FLEX
134251-63336,QB,Joe,Joe Burrow,Burrow,15.15999984741211,1,8200,CIN@HOU,CIN,HOU,,,,,,QB
134251-85607,QB,Brock,Brock Purdy,Purdy,22.100000381469727,1,8100,MIA@SF,SF,MIA,,,,,,QB
134251-110246,WR,George,George Pickens,Pickens,4.300000190734863,1,8000,WAS@DAL,DAL,WAS,,,,,,WR/FLEX
134251-31716,QB,Dak,Dak Prescott,Prescott,15.399999618530273,1,8000,WAS@DAL,DAL,WAS,,,,,,QB
134251-152664,RB,Bucky,Bucky Irving,Irving,16.799999237060547,1,7900,CLE@TB,TB,CLE,,,,,,RB/FLEX
