player,team,position,week,targets,target_share,targets_avg,targets_total,source,asof
Trey McBride,ARI,TE,1,13,0.35,13.0,13,lineups,2026-09-16
Kendrick Bourne,ARI,WR,1,8,0.22,8.0,8,lineups,2026-09-16
Marvin Harrison Jr.,ARI,WR,1,3,0.08,3.0,3,lineups,2026-09-16
Michael Wilson,ARI,WR,1,7,0.19,7.0,7,lineups,2026-09-16
Kyle Pitts Sr.,ATL,TE,1,1,0.05,1.0,1,lineups,2026-09-16
Drake London,ATL,WR,1,4,0.18,4.0,4,lineups,2026-09-16
Jahan Dotson,ATL,WR,1,3,0.14,3.0,3,lineups,2026-09-16
Olamide Zaccheaus,ATL,WR,1,1,0.05,1.0,1,lineups,2026-09-16
Durham Smythe,BAL,TE,1,1,0.04,1.0,1,lineups,2026-09-16
Mark Andrews,BAL,TE,1,6,0.24,6.0,6,lineups,2026-09-16
Matt Hibner,BAL,TE,1,1,0.04,1.0,1,lineups,2026-09-16
Chris Moore,BAL,WR,1,2,0.08,2.0,2,lineups,2026-09-16
Ja'Kobi Lane,BAL,WR,1,3,0.12,3.0,3,lineups,2026-09-16
LaJohntay Wester,BAL,WR,1,2,0.08,2.0,2,lineups,2026-09-16
Rashod Bateman,BAL,WR,1,1,0.04,1.0,1,lineups,2026-09-16
Zay Flowers,BAL,WR,1,6,0.24,6.0,6,lineups,2026-09-16
Dalton Kincaid,BUF,TE,1,6,0.21,6.0,6,lineups,2026-09-16
Dawson Knox,BUF,TE,1,1,0.03,1.0,1,lineups,2026-09-16
DJ Moore,BUF,WR,1,8,0.28,8.0,8,lineups,2026-09-16
Joshua Palmer,BUF,WR,1,2,0.07,2.0,2,lineups,2026-09-16
Keon Coleman,BUF,WR,1,1,0.03,1.0,1,lineups,2026-09-16
Khalil Shakir,BUF,WR,1,6,0.21,6.0,6,lineups,2026-09-16
Darren Waller,CAR,TE,1,2,0.05,2.0,2,lineups,2026-09-16
Mitchell Evans,CAR,TE,1,2,0.05,2.0,2,lineups,2026-09-16
Tommy Tremble,CAR,TE,1,5,0.13,5.0,5,lineups,2026-09-16
Jalen Coker,CAR,WR,1,9,0.24,9.0,9,lineups,2026-09-16
Jimmy Horn Jr.,CAR,WR,1,1,0.03,1.0,1,lineups,2026-09-16
Tetairoa McMillan,CAR,WR,1,8,0.21,8.0,8,lineups,2026-09-16
Xavier Legette,CAR,WR,1,2,0.05,2.0,2,lineups,2026-09-16
Cole Kmet,CHI,TE,1,3,0.1,3.0,3,lineups,2026-09-16
Colston Loveland,CHI,TE,1,2,0.07,2.0,2,lineups,2026-09-16
Jahdae Walker,CHI,WR,1,1,0.03,1.0,1,lineups,2026-09-16
Kalif Raymond,CHI,WR,1,9,0.31,9.0,9,lineups,2026-09-16
Luther Burden III,CHI,WR,1,5,0.17,5.0,5,lineups,2026-09-16
Rome Odunze,CHI,WR,1,3,0.1,3.0,3,lineups,2026-09-16
Drew Sample,CIN,TE,1,3,0.09,3.0,3,lineups,2026-09-16
Mike Gesicki,CIN,TE,1,7,0.2,7.0,7,lineups,2026-09-16
Tanner Hudson,CIN,TE,1,1,0.03,1.0,1,lineups,2026-09-16
Andrei Iosivas,CIN,WR,1,3,0.09,3.0,3,lineups,2026-09-16
Dohnte Meyers,CIN,WR,1,1,0.03,1.0,1,lineups,2026-09-16
