total_resid,spread_resid
1.0,-4.0
13.5,-3.0
-15.0,12.0
16.0,0.5
-2.0,-3.0
-14.5,14.0
7.0,-1.0
-12.5,0.5
15.5,-33.5
-8.5,21.0
-9.0,-9.0
4.0,0.5
8.0,18.5
15.0,-13.0
-8.0,-1.0
8.0,-9.5
-7.5,23.5
8.0,12.0
-10.0,18.0
16.0,31.5
-15.5,11.5
-15.5,-9.0
-10.5,8.0
-6.5,-10.5
4.0,-0.5
-0.5,3.5
-3.5,-1.5
3.5,-32.0
-17.5,4.0
3.5,5.5
-13.5,-0.0
-3.5,6.5
-12.0,-14.5
-2.0,12.5
-6.0,-3.5
-5.0,-29.0
-22.0,5.5
-6.0,-7.0
-7.5,25.0
7.0,19.0
18.0,19.5
-14.5,-17.0
-18.5,4.0
5.5,1.5
6.5,-9.0
-7.0,2.0
10.5,-33.0
25.0,12.5
-10.0,-0.5
8.5,0.5
11.0,5.5
2.0,-3.0
16.0,4.5
-0.5,1.5
11.0,-5.5
-20.5,8.5
7.0,-18.0
7.0,31.5
1.5,-6.5
-14.5,-0.5
-0.5,-6.5
-1.5,-22.5
6.0,21.5
24.5,-9.5
22.0,-3.5
-2.0,-3.5
6.0,-22.0
30.5,0.5
-5.0,-2.0
26.0,0.5
-12.0,3.0
3.0,-18.0
16.0,-13.0
-1.5,8.0
-6.5,2.0
6.5,16.0
-6.5,5.5
-4.0,-7.5
11.0,8.5
6.5,-20.5
1.5,-0.5
0.0,-15.5
23.5,13.5
35.5,20.5
-6.0,4.0
-5.0,5.5
2.0,4.0
8.5,15.5
12.5,12.0
3.5,34.5
-22.0,5.5
1.0,2.0
6.0,20.5
6.0,-9.5
-3.5,23.0
3.0,-14.5
-7.0,1.5
-2.0,1.0
-18.0,-3.0
9.5,3.0
-11.0,22.0
-8.0,2.0
-4.0,-23.0
-1.5,12.5
12.0,-25.0
21.0,5.5
-12.0,-3.0
2.5,-13.0
6.5,22.5
8.5,-12.5
21.0,-25.5
-2.0,2.0
8.0,-0.5
8.5,5.0
6.0,-10.0
10.0,3.5
-7.5,-11.0
-4.5,18.0
1.5,-1.0
5.0,-2.0
-13.5,-1.5
6.0,-0.5
6.5,-2.0
-9.5,-5.5
-4.0,-3.0
4.5,-22.0
8.0,3.5
1.5,-8.0
20.0,-9.0
-5.5,15.0
4.5,0.5
-1.5,-0.0
-6.5,-18.5
5.0,2.5
-9.5,7.5
-2.5,4.5
-13.0,-1.5
8.5,3.0
16.0,5.0
-3.5,-9.5
-15.5,22.5
3.5,5.5
-23.5,-2.0
-12.5,5.5
-9.5,-6.5
-7.5,-3.5
10.0,2.5
4.0,-2.0
-8.5,-27.0
-4.5,20.5
0.0,-1.5
-11.5,10.5
-5.5,-3.5
-2.0,-5.0
10.5,-32.0
9.5,-7.0
7.5,2.0
5.0,-22.0
12.0,5.0
-14.0,-5.0
-4.0,4.0
-0.5,-30.0
-12.0,9.0
4.5,-6.5
13.0,-6.0
2.5,16.5
6.5,-8.5
14.0,-8.0
17.5,-0.0
18.5,13.0
-20.5,11.0
3.0,-11.5
-3.5,16.5
15.0,18.5
6.5,3.5
3.5,-21.5
-24.5,-11.0
8.0,14.0
2.0,4.0
-4.5,6.5
8.0,-2.5
-0.5,-9.5
-6.0,11.5
-17.0,3.0
36.0,9.0
-1.5,-0.5
-0.5,2.5
7.5,-1.5
5.5,6.0
16.0,-17.0
3.0,-3.5
-13.5,4.5
-7.0,8.0
0.0,-18.5
31.5,-2.5
12.0,-0.0
13.0,0.5
16.5,-15.0
-16.0,-2.5
-6.5,8.0
-2.0,-7.0
-6.0,-8.0
-24.0,7.0
2.5,15.0
36.5,-5.5
7.5,-22.0
-7.5,3.0
-4.0,2.0
-30.5,9.0
2.0,18.5
-13.5,9.5
-14.5,-5.5
15.5,3.5
-5.5,-6.5
5.5,4.5
17.5,4.0
0.5,-7.0
0.5,-13.5
34.5,8.5
11.0,26.0
-3.0,-8.5
-5.0,14.0
-1.5,-11.0
-20.5,-0.5
19.5,-4.0
3.5,-4.5
6.5,-10.0
-1.5,-17.5
19.0,-11.5
3.5,10.0
-16.5,-8.0
25.5,-4.0
-19.0,7.0
22.0,-7.0
8.0,0.5
-3.0,11.0
-8.5,-2.5
2.0,-14.0
2.5,-6.5
-10.0,-20.0
-4.5,16.0
-13.5,23.5
-34.5,-0.5
5.0,27.0
3.5,-2.5
-26.0,2.5
9.5,-16.0
-5.0,-8.0
-2.5,13.0
37.5,-19.5
10.5,-26.5
14.5,-24.5
-9.5,14.0
3.0,-3.0
7.5,-2.5
23.5,2.0
2.5,-5.5
-12.5,-0.5
33.5,13.5
-1.5,-3.0
4.5,12.0
3.5,0.5
2.5,-10.0
-3.5,-4.0
1.5,6.5
0.5,11.5
28.5,-18.5
-2.5,-27.5
16.5,-2.5
11.5,7.0
12.5,-10.5
-16.5,-19.0
