qb_fd,def_fd
14.940000000000001,6.0
28.12,4.0
18.42,7.0
17.4,3.0
8.2,12.0
11.940000000000001,3.0
31.18,3.0
14.18,5.0
7.220000000000001,4.0
8.68,18.0
8.06,11.0
8.04,2.0
27.080000000000002,4.0
18.66,5.0
21.62,4.0
11.280000000000001,6.0
21.3,-1.0
11.64,14.0
6.94,22.0
15.620000000000001,4.0
10.36,1.0
11.78,13.0
18.84,8.0
13.02,9.0
12.66,11.0
11.46,2.0
29.660000000000004,-3.0
28.16,3.0
12.379999999999999,4.0
18.68,5.0
10.34,2.0
9.58,6.0
8.5,18.0
9.76,-1.0
17.380000000000003,4.0
13.940000000000001,7.0
2.96,11.0
12.0,5.0
14.920000000000002,8.0
22.82,1.0
13.780000000000001,5.0
19.8,8.0
12.98,3.0
12.86,11.0
13.3,10.0
15.440000000000001,3.0
20.919999999999998,8.0
17.959999999999997,12.0
10.56,6.0
20.88,3.0
12.48,11.0
15.139999999999999,2.0
13.440000000000001,5.0
18.32,4.0
28.54,-1.0
6.640000000000001,17.0
10.34,13.0
11.379999999999999,6.0
14.94,8.0
17.22,11.0
14.3,6.0
9.36,15.0
24.82,3.0
17.54,1.0
21.040000000000003,2.0
3.92,16.0
16.44,13.0
19.439999999999998,6.0
7.08,5.0
22.32,11.0
23.240000000000002,3.0
11.8,13.0
8.98,7.0
14.94,11.0
19.4,5.0
9.0,9.0
9.52,15.0
19.34,2.0
15.599999999999998,21.0
25.380000000000003,2.0
14.96,5.0
27.56,-2.0
13.360000000000001,7.0
4.28,13.0
15.78,7.0
15.56,5.0
32.86,4.0
25.980000000000004,-1.0
12.84,3.0
25.78,3.0
12.100000000000001,5.0
17.38,2.0
30.92,-2.0
10.420000000000002,13.0
28.36,1.0
28.060000000000002,-2.0
10.540000000000001,6.0
16.74,2.0
8.52,3.0
9.06,17.0
16.7,2.0
17.28,1.0
11.48,3.0
5.860000000000001,8.0
34.160000000000004,8.0
21.5,7.0
26.5,4.0
15.26,2.0
15.02,2.0
34.980000000000004,8.0
11.6,11.0
6.7,6.0
31.880000000000003,3.0
16.32,11.0
9.98,7.0
25.02,-2.0
15.62,4.0
8.02,22.0
11.16,6.0
14.0,8.0
5.0,11.0
13.239999999999998,6.0
23.64,-1.0
7.300000000000001,15.0
11.84,8.0
3.4,2.0
19.48,1.0
